Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
"Rab Ne Banaya Tujhe Mere Liye 4K Video | Lata Mangeshkar | Anil Kapoor, Sridevi | Heer Ranjha Songs",SuperHit Gaane,"7,540,000","2,102,666","7,668",537,https://www.youtube.com/watch?v=PZ2G8DEzDmU
"O Babul Pyare | Johny Mera Naam (1970) | Lata Mangeshkar | Dev Anand, Hema Malini | Olds Hindi Songs",Shemaroo Musical Maestros,"10,100,000","1,861,939","6,226",357,https://www.youtube.com/watch?v=lBuH_bW-f10
Tujhse Naraz Nahin Zindagi | Lyrical | Naseeruddin Shah | Shabana Azmi | Lata Mangeshkar,Old Hindi Songs,"1,460,000","1,547,097","11,760",235,https://www.youtube.com/watch?v=T2V1lFQ62Is
"Sad Song: Chitthiye Ni Dard Firaaq Valiye 4K | Lata Mangeshkar | Henna |Rishi Kapoor, Zeba Bakhtiyar",SuperHit Gaane,"7,540,000","1,197,493","7,683",285,https://www.youtube.com/watch?v=nu_t6mkC-DE
Hamne Sanam Ko Khat Likha - Jhankar Beats,Lata Mangeshkar - Topic,"505,000","1,038,345","10,499",343,https://www.youtube.com/watch?v=CQofDhaR4k8
"Beeti Na Bitai Raina 4K - Lata Mangeshkar Songs - Bhupinder Singh - Jaya Bachchan, Sanjeev Kumar",SuperHit Gaane,"7,540,000","948,881","9,107",304,https://www.youtube.com/watch?v=MjVRG2VV1kA
वो भूली दास्तान लो | Sanjog (1961) | Anita Guha | Lata Mangeshkar Sad Hindi Song #latamangeshkarsong,Lata Mangeshkar Songs,"1,620,000","705,967","4,260",257,https://www.youtube.com/watch?v=9h84DGsCHsA
"रिमझिम गिरे सावन | Rimjhim Gire Sawan | Lata Mangeshkar | Manzil (1979) | Amitabh Bachchan, Moushumi",Shemaroo Filmi Gaane,"71,200,000","567,742","3,354",225,https://www.youtube.com/watch?v=6C7R_CUJgHQ
Bloom,Prateek Kuhad,"1,090,000","471,641","2,601",220,https://www.youtube.com/watch?v=h1wPRrJls1I
Chal Chale Aye Dil (HD) | Jheel Ke Us Paar (1973) | Mumtaz | Dharmendra | Lata Mangeshkar Songs,NH Hindi Songs,"5,840,000","358,383","1,745",505,https://www.youtube.com/watch?v=TgZeU80A0ZY
