Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
Mere Dushman Tu Meri Dosti Ko Tarse | Mohammed Rafi | Aaye Din Bahaar Ke (1966) Songs | Dharmendra,Goldmines Gaane Sune Ansune,"45,600,000","62,989,751","215,374",357,https://www.youtube.com/watch?v=ClOyNlOzBRQ
Gulabi Aankhen Jo Teri Dekhi (Original Version) Mohammed Rafi | The Train 1970 Songs | Rajesh Khanna,Goldmines Gaane Sune Ansune,"45,600,000","59,113,967","335,505",217,https://www.youtube.com/watch?v=I5t894l5b1w
"Main Ek Raja Hoon - Video Song | Jaya Bachchan, Swaroop Dutt | Mohammad Rafi |Laxmikant Pyarelal",Bollywood Classics,"20,600,000","51,239,548","126,599",275,https://www.youtube.com/watch?v=B9WSRw-ObEY
"Chhup Gaye Saare Nazaare | Rajesh Khanna, Mumtaz Songs | Mohd Rafi Hit Songs | Do Raaste Songs",Mohd Rafi Hit Songs,"789,000","51,033,365","152,856",275,https://www.youtube.com/watch?v=LtiqTU9BnrA
O Firkiwali Tu Kal Phir Aana | Mohammed Rafi | Raja Aur Runk 1968 Songs | Sanjeev Kumar,Goldmines Gaane Sune Ansune,"45,600,000","43,899,242","149,775",244,https://www.youtube.com/watch?v=vbIP6b0BArs
"Mere Mitwa Mere Meet Re (Solo) | Mohammed Rafi | Geet 1970 Songs | Rajendra Kumar, Mala Sinha",Goldmines Gaane Sune Ansune,"45,600,000","43,794,644","153,536",224,https://www.youtube.com/watch?v=F8rd81sjAnY
आया रे खिलौने वाला (Part 3) | Bachpan Movie Songs (1970) | Mohammed Rafi Songs | Sanjeev Kumar,Shemaroo Filmi Gaane,"71,200,000","43,216,684","190,843",283,https://www.youtube.com/watch?v=YFQTpJVW56o
Nafrat Ki Duniya Ko Chhod Ke - LYRICAL Video Song | Mohammed Rafi Song | Rajesh Khanna Song,Bollywood Retro,"842,000","41,497,091","142,973",258,https://www.youtube.com/watch?v=z5YriVMF2pU
"Dil Kahe Ruk Ja Re Ruk Ja |Mohammed Rafi | Man Ki Aankhen 1970 Songs | Dharmendra, Waheeda Rehman",Goldmines Gaane Sune Ansune,"45,600,000","41,288,400","103,480",353,https://www.youtube.com/watch?v=jhJBhXcWBxQ
"Yeh Chand Sa Roshan Chehra 4K Song - Kashmir Ki Kali | Mohammed Rafi |Sharmila Tagore, Shammi Kapoor",SuperHit Gaane,"7,540,000","40,013,208","264,107",316,https://www.youtube.com/watch?v=VueN49P7JyU
Falak Se Tod Kar Dekho Sitare | Mohammed Rafi | Aan Milo Sajna 1970 Songs | Asha Parekh,Goldmines Gaane Sune Ansune,"45,600,000","39,135,270","83,823",266,https://www.youtube.com/watch?v=doUjobe-uxU
Abhi Na Jaao Chhod Kar | Dev Anand | Sadhana | Mohd Rafi | Asha Bhosle | Hum Dono (1961),Shemaroo Filmi Gaane,"71,200,000","35,523,765","320,281",247,https://www.youtube.com/watch?v=mfEQgoVi7P4
"Likhe Jo Khat Tujhe | 4K Video | Kanyadaan | Shashi Kapoor, Asha Parekh | Mohammed Rafi",Mohammed Rafi,"856,000","34,461,667","261,560",288,https://www.youtube.com/watch?v=DRBxROqWOPk
"Garibon Ki Suno Wo Tumhari Sunega - Mohammed Rafi Song | Hindi Dard Bhare Gane | Sanjay Khan, Babita",Dard Bhare Songs,"4,380,000","33,587,311","98,084",491,https://www.youtube.com/watch?v=HNhCMIIMdS0
"Khilona Jaan Kar Tum Toh | Mohammed Rafi | Khilona 1970 Songs | Sanjeev Kumar, Mumtaz",Goldmines Gaane Sune Ansune,"45,600,000","32,908,508","132,564",268,https://www.youtube.com/watch?v=2SiEqSoAjeY
Raha Gardishon Mein Hardam Mere Ishq Ka Sitara | Mohammed Rafi | Do Badan Songs | Manoj Kumar,Goldmines Gaane Sune Ansune,"45,600,000","28,642,999","107,282",301,https://www.youtube.com/watch?v=-ky5WZ-ho9o
Mile Na Phool To - Parikshit Sahni - Zaheeda Hussain - Anokhi Raat - Bollywood Songs - Mohd Rafi,Shemaroo Filmi Gaane,"71,200,000","28,561,030","87,557",208,https://www.youtube.com/watch?v=7xIfJdD4AIU
Baharon Phool Barsao - Hindi Lyrics | बहारों फूल बरसाओ | Suraj | Rajendra Kapoor | Mohammed Rafi,Bollywood Classics,"20,600,000","25,215,249","74,565",266,https://www.youtube.com/watch?v=M8ichCVyxhQ
Janewalo Zara Mudke Dekho Video Song | Dosti | Mohammad Rafi's Hit Song | Laxmikant Pyarelal Songs,Bollywood Classics,"20,600,000","24,845,651","182,472",322,https://www.youtube.com/watch?v=MMSdd9aViVs
Bhari Duniya Mein Aakhir Dil Ko Samjhane Kahan Jayen | Mohammad Rafi | Do Badan Sogns | Manoj Kumar,Goldmines Gaane Sune Ansune,"45,600,000","22,585,884","75,242",323,https://www.youtube.com/watch?v=OYf-YnlPwMQ
Oh Duniya Ke Rakhwaale | Mohammad Rafi | K.J. Yesudas | Hindi Song,Wilson Jukebox,"542,000","20,361,374","111,012",774,https://www.youtube.com/watch?v=yrf_BBGO5PI
Mere Huzoor - Rukh Se Zara Naqab Utha Do Mere Huzoor - Mohd.Rafi,Shemaroo,"57,600,000","18,891,294","66,011",263,https://www.youtube.com/watch?v=MTwtrF243kY
"Chal Ud Jare Panchhi (sad) - Mohammed Rafi, Bhabhi Song",Ultra Bollywood,"43,400,000","18,809,509","66,442",251,https://www.youtube.com/watch?v=HyUP1NwVj4U
Yeh Duniya Yeh Mehfil Mere Kaam Ki Nahi 4K | Mohammed Rafi Ka Dard | Raaj Kumar | Heer Ranjha Songs,SuperHit Gaane,"7,540,000","17,506,950","103,610",420,https://www.youtube.com/watch?v=EHcy-rquIZ4
"Hum Kaale Hai To Kya Hua : Mohammed Rafi | Mehmood, Helen | Gumnaam",Gaane 70s 80s,"1,110,000","17,098,127","59,696",350,https://www.youtube.com/watch?v=ryzHT5foN6o
Mohd Rafi - Lata Mangeshkar : Tumhari Nazar Kyon Khafa Ho Gayi | Hindi Song | Mala Sinha | Biswajeet,Dard Bhare Songs,"4,380,000","16,887,010","56,430",539,https://www.youtube.com/watch?v=NzKawL22oOc
Mera Toh Jo Bhi Kadam Hai Video Song | Dosti | Mohammad Rafi Hits | Laxmikant Pyarelal Songs,Bollywood Classics,"20,600,000","15,653,491","76,641",242,https://www.youtube.com/watch?v=tP0D6ZJll1M
Toote Hue Khwabon (HD) | Madhumati Songs | Dilip Kumar | Vyjayantimala | Mohd Rafi,Shemaroo Filmi Gaane,"71,200,000","14,980,370","74,975",214,https://www.youtube.com/watch?v=xkjfF11k7ls
Mujhe Teri Mohabbat Ka | Rajendra Kumar Hit Songs | Mohd Rafi Hit Songs | Aap Aye Bahaar Ayee Songs,Desi Music Library,"442,000","14,683,237","46,691",379,https://www.youtube.com/watch?v=s1AzkxS3jE8
Main Zindagi Ka Saath Nibhaata Chala Gaya | Mohd. Rafi | Dev Anand | Hum Dono (1961),Shemaroo Filmi Gaane,"71,200,000","13,948,725","92,814",228,https://www.youtube.com/watch?v=ivBhqDtJeiw
Pukarta Chala Hoon Main (HD) | Mere Sanam (1965) | Asha Parekh | Biswajit Chatterjee | Mohd.Rafi,Shemaroo Filmi Gaane,"71,200,000","12,462,875","66,468",229,https://www.youtube.com/watch?v=gLKBwutnPwA
Maine Poochha Chand Se (Lyrical Video) | Mohammed Rafi | R. D. Burman | Revibe | Hindi Songs,Universal Music India,"2,260,000","11,935,234","66,188",309,https://www.youtube.com/watch?v=_3M_D6OTD1Q
ये जो चिलमन है | Ye Jo Chilman Hai Dushman hai hamaari Video Song | Mohammed Rafi | Anand Bakshi,SRE MUSIC,"609,000","11,882,740","43,980",268,https://www.youtube.com/watch?v=uVv8uQTjIOk
Chahunga Main Tujhe Saanjh Savere - Hindi Lyrics | Dosti | Mohammad Rafi Hits | Laxmikant Pyarelal,Bollywood Classics,"20,600,000","11,795,550","62,828",264,https://www.youtube.com/watch?v=qnqwYQSqOIM
"Yeh Maana Meri Jaan Mohabbat Saza Hai 4K | Mohammed Rafi | Navin Nischol, Priya R | Hanste Zakham",SuperHit Gaane,"7,540,000","11,200,819","38,459",462,https://www.youtube.com/watch?v=pWU1Ud7t0us
"Bekhudi Mein Sanam (HD)| Mohammed Rafi, lata mangeshkar | Shashi Kapoor, Babita | NH Hindi Songs",NH Hindi Songs,"5,840,000","10,512,793","27,272",347,https://www.youtube.com/watch?v=5QBc2cI3NH0
Udein Jab Jab Zulfen Teri | Naya Daur | Mohammed Rafi | Dilip Kumar | Vyjayantimala,Bollywood Sadabahar Song,"336,000","9,118,906","25,095",279,https://www.youtube.com/watch?v=xdh0VaKi2jQ
Abhi Na Jao Chhodkar | World Music Day Concert 24 | Sourendro-Soumyojit,Sourendro Soumyojit,"339,000","9,058,608","221,598",345,https://www.youtube.com/watch?v=AB-I3vsUk6g
Mohd. Rafi Hindi Song : Yeh Mana Meri Jaan Mohabbat Sazaa Hai | Navin Nischol | Priya Rajvansh,Dard Bhare Songs,"4,380,000","8,458,867","26,707",683,https://www.youtube.com/watch?v=KhdAFcWMuRY
Dil Ke Jharokhe Mein | Brahmachari (1968) | Shammi Kapoor | Rajshree | Romantic Sad Song,NH Hindi Songs,"5,840,000","7,318,237","38,519",588,https://www.youtube.com/watch?v=JHKFyeYyeG0
Rimjhim Ke Geet Saawan Gaaye | Lata Mangeshkar | Mohammed Rafi | Superhit Romantic Song,Retro Hit Songs,"432,000","7,086,653","23,459",271,https://www.youtube.com/watch?v=nFFQb348_kw
"हम काले हैं तोह क्या हुआ (4K Lyrical) Mohammed Rafi Songs : Mehmood, Helen | Gumnaam (1965) Songs",SuperHit Gaane,"7,540,000","6,953,626","30,658",361,https://www.youtube.com/watch?v=pgeyRvKTFdc
"ओ नन्हे फ़रिश्ते -4K | Superhit Hindi Song |Mohd Rafi |Sadhana, Sanjay Khan | Ek Phool Do Mali [1969]",SuperHit Gaane,"7,540,000","6,789,542","31,928",276,https://www.youtube.com/watch?v=XBHQKcjkYm4
"Chalke Teri Aankhon Se Sharab | Mohammed Rafi | Arzoo 1965 Songs | Sadhana, Rajendra Kumar",Goldmines Gaane Sune Ansune,"45,600,000","6,519,901","25,756",255,https://www.youtube.com/watch?v=Qs5d8NGO6no
Mohammed Rafi : Yeh Duniya Yeh Mehfil Mere Kaam Ki Nahi | Hindi Song | Old Bollywood Dard Bhara Geet,Dard Bhare Songs,"4,380,000","6,469,332","28,295",566,https://www.youtube.com/watch?v=BgGbI174sCc
Mohammad Rafi Sahab Ke Is Live Program Ke Liye Shri Lanka Government Ne National Holiday Declare Kia,ahsanqasimindia,"299,000","5,929,140","213,672",22,https://www.youtube.com/watch?v=9JpUSJEJB0E
Mohammed Rafi - Maine Puchha Chand Se (From ‘Abdullah’),UMusicIndiaVEVO,"213,000","5,694,224","47,484",306,https://www.youtube.com/watch?v=lq5T-4gn4YA
rafi sahab live performance,Golden era of legends,"129,000","5,536,796","257,265",29,https://www.youtube.com/watch?v=G2Su4BU_o6Q
नज़र ना लग जाये | Nazar Na Lag Jaye [4K] Song: Mohammed Rafi | Night In London | Mala Sinha/Biswajit,SuperHit Gaane,"7,540,000","5,481,632","23,328",247,https://www.youtube.com/watch?v=Y2QLjRWXdAA
Best of Mohammad Rafi's Superhit Songs.. #ytshort #oldisgold #evergreenhindisongs,Cinema Ki Duniya ,"184,000","5,408,506","170,015",42,https://www.youtube.com/watch?v=kIvOZyflsDY
Tum Ne Mujhe Dekha - Rafi sahab Live Video,Javed Rafi,"101,000","5,231,564","37,618",120,https://www.youtube.com/watch?v=SN959Zm6at4
Main Kahin Kavi Na Ban Jaoon | Pyar Hi Pyar (1969) | Mohd. Rafi | Dharmendra | Vyjayanthimala,Mohd Rafi Hit Songs,"789,000","5,186,964","19,806",257,https://www.youtube.com/watch?v=yRbHRd-rn30
"Dil Ne Phir Yaad Kiya Song HD - Mohammed Rafi, Suman Kalyanpur | Dharmendra, Nutan | @SuperHitGaane",SuperHit Gaane,"7,540,000","5,072,946","19,772",312,https://www.youtube.com/watch?v=UxO_kVwpZ38
"Sare Shaher Mein Aapsa Koi Nahi Full Song 4K | Mohammed Rafi | Dilip Kumar, Leena Chandavarkar",SuperHit Gaane,"7,540,000","4,939,860","15,901",533,https://www.youtube.com/watch?v=22pXdOqTFEc
Yu Hee Tum Mujhase Baat Karatee Ho | Mohd Rafi Hit Songs | Lata Mangeshkar | Rajesh Khanna | Mumtaz,Mohd Rafi Hit Songs,"789,000","4,910,576","15,063",243,https://www.youtube.com/watch?v=EiD9h_SWtaU
